,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
0,주간,권선구,건조,맑음,2.0,4.0,5.0,5.0,16.0,24.36355350275768,4.476795931341386,4.588550983899821,4.444769140853302,4.460807600950119,33.97092365704463,71.83567950729916
1,주간,권선구,건조,비,2.0,4.0,5.0,4.0,15.0,22.760530813602152,4.476795931341386,4.588550983899821,4.444769140853302,4.798319327731092,33.3084353838256,68.72491881347294
2,주간,팔달구,건조,맑음,2.0,3.0,5.0,5.0,15.0,22.88682220813488,4.476795931341386,4.363636363636363,4.444769140853302,4.460807600950119,32.746009036781174,66.57238466260897
3,주간,권선구,젖음/습기,맑음,2.0,4.0,4.0,5.0,15.0,22.760530813602152,4.476795931341386,4.588550983899821,4.841059602649007,4.460807600950119,33.36721411884034,68.97607221362868
4,야간,권선구,건조,맑음,1.0,4.0,5.0,5.0,15.0,23.150352786402067,4.488599348534202,4.588550983899821,4.444769140853302,4.460807600950119,32.982727074237445,67.3706869931506
5,주간,권선구,서리/결빙,맑음,2.0,4.0,3.0,5.0,14.0,21.157508124446625,4.476795931341386,4.588550983899821,4.875,4.460807600950119,32.401154516191326,64.23683380303265
6,야간,권선구,젖음/습기,맑음,1.0,4.0,4.0,5.0,14.0,21.54733009724654,4.488599348534202,4.588550983899821,4.841059602649007,4.460807600950119,32.379017536033146,64.5110796994801
7,주간,권선구,건조,흐림,2.0,4.0,5.0,3.0,14.0,21.157508124446625,4.476795931341386,4.588550983899821,4.444769140853302,4.421875,31.93199105609451,62.79726650254857
8,주간,팔달구,건조,비,2.0,3.0,5.0,4.0,14.0,21.28379951897936,4.476795931341386,4.363636363636363,4.444769140853302,4.798319327731092,32.08352076356214,63.461623968782746
9,주간,팔달구,젖음/습기,맑음,2.0,3.0,4.0,5.0,14.0,21.283799518979357,4.476795931341386,4.363636363636363,4.841059602649007,4.460807600950119,32.142299498576875,63.71277736893849
10,주간,권선구,젖음/습기,비,2.0,4.0,4.0,4.0,14.0,21.157508124446625,4.476795931341386,4.588550983899821,4.841059602649007,4.798319327731092,32.704725845621304,65.86531151980246
11,야간,권선구,건조,비,1.0,4.0,5.0,4.0,14.0,21.547330097246544,4.488599348534202,4.588550983899821,4.444769140853302,4.798319327731092,32.32023880101842,64.25992629932436
12,야간,팔달구,건조,맑음,1.0,3.0,5.0,5.0,14.0,21.673621491779272,4.488599348534202,4.363636363636363,4.444769140853302,4.460807600950119,31.757812453973987,62.1073921484604
13,주간,장안구,건조,맑음,2.0,2.0,5.0,5.0,14.0,21.41009091351209,4.476795931341386,4.474332648870637,4.444769140853302,4.460807600950119,31.856705322015443,62.43014086944115
14,야간,권선구,젖음/습기,비,1.0,4.0,4.0,4.0,13.0,19.944307408091014,4.488599348534202,4.588550983899821,4.841059602649007,4.798319327731092,31.716529262814124,61.400319005653884
15,야간,권선구,서리/결빙,맑음,1.0,4.0,3.0,5.0,13.0,19.944307408091014,4.488599348534202,4.588550983899821,4.875,4.460807600950119,31.412957933384142,59.771841288884076
16,야간,장안구,건조,맑음,1.0,2.0,5.0,5.0,13.0,20.19689019715648,4.488599348534202,4.474332648870637,4.444769140853302,4.460807600950119,30.86850873920826,57.965148355292584
17,주간,장안구,건조,비,2.0,2.0,5.0,4.0,13.0,19.80706822435656,4.476795931341386,4.474332648870637,4.444769140853302,4.798319327731092,31.194217048796418,59.319380175614924
18,주간,권선구,건조,눈,2.0,4.0,5.0,2.0,13.0,19.5544854352911,4.476795931341386,4.588550983899821,4.444769140853302,3.5714285714285716,30.081544627523083,56.67449864540571
19,주간,영통구,건조,맑음,2.0,1.0,5.0,5.0,13.0,19.93335961888929,4.476795931341386,4.492957746478873,4.444769140853302,4.460807600950119,30.87533041962368,57.974433318178754
20,주간,팔달구,젖음/습기,비,2.0,3.0,4.0,4.0,13.0,19.680776829823827,4.476795931341386,4.363636363636363,4.841059602649007,4.798319327731092,31.47981122535785,60.60201667511227
21,주간,팔달구,서리/결빙,맑음,2.0,3.0,3.0,5.0,13.0,19.680776829823827,4.476795931341386,4.363636363636363,4.875,4.460807600950119,31.176239895927868,58.97353895834246
22,야간,팔달구,건조,비,1.0,3.0,5.0,4.0,13.0,20.070598802623746,4.488599348534202,4.363636363636363,4.444769140853302,4.798319327731092,31.09532418075496,58.99663145463417
23,주간,팔달구,건조,흐림,2.0,3.0,5.0,3.0,13.0,19.680776829823827,4.476795931341386,4.363636363636363,4.444769140853302,4.421875,30.707076435831052,57.53397165785837
24,야간,팔달구,젖음/습기,맑음,1.0,3.0,4.0,5.0,13.0,20.070598802623746,4.488599348534202,4.363636363636363,4.841059602649007,4.460807600950119,31.15410291576969,59.24778485478991
25,주간,장안구,젖음/습기,맑음,2.0,2.0,4.0,5.0,13.0,19.80706822435656,4.476795931341386,4.474332648870637,4.841059602649007,4.460807600950119,31.252995783811148,59.57053357577067
26,야간,권선구,건조,흐림,1.0,4.0,5.0,3.0,13.0,19.944307408091014,4.488599348534202,4.588550983899821,4.444769140853302,4.421875,30.943794473287326,58.3322739884
27,주간,권선구,서리/결빙,비,2.0,4.0,3.0,4.0,13.0,19.5544854352911,4.476795931341386,4.588550983899821,4.875,4.798319327731092,31.7386662429723,61.12607310920643
28,주간,권선구,기타,맑음,2.0,4.0,2.0,5.0,13.0,19.5544854352911,4.476795931341386,4.588550983899821,4.666666666666667,4.460807600950119,31.192821182857994,58.94516713636599
29,주간,권선구,젖음/습기,흐림,2.0,4.0,4.0,3.0,13.0,19.5544854352911,4.476795931341386,4.588550983899821,4.841059602649007,4.421875,31.328281517890215,59.93765920887809
30,야간,장안구,젖음/습기,맑음,1.0,2.0,4.0,5.0,12.0,18.593867508000947,4.488599348534202,4.474332648870637,4.841059602649007,4.460807600950119,30.264799201003964,55.1055410616221
31,주간,권선구,적설,맑음,2.0,4.0,1.0,5.0,12.0,17.95146274613557,4.476795931341386,4.588550983899821,4.25,4.460807600950119,29.776154516191326,53.86183380303265
32,야간,팔달구,건조,흐림,1.0,3.0,5.0,3.0,12.0,18.46757611346822,4.488599348534202,4.363636363636363,4.444769140853302,4.421875,29.718879853023868,53.068979143709804
33,주간,팔달구,서리/결빙,비,2.0,3.0,3.0,4.0,12.0,18.0777541406683,4.476795931341386,4.363636363636363,4.875,4.798319327731092,30.513751622708842,55.86277826451624
34,주간,권선구,기타,비,2.0,4.0,2.0,4.0,12.0,17.95146274613557,4.476795931341386,4.588550983899821,4.666666666666667,4.798319327731092,30.530332909638968,55.83440644253976
35,주간,팔달구,젖음/습기,흐림,2.0,3.0,4.0,3.0,12.0,18.0777541406683,4.476795931341386,4.363636363636363,4.841059602649007,4.421875,30.103366897626756,54.674364364187895
36,야간,권선구,건조,눈,1.0,4.0,5.0,2.0,12.0,18.341284718935487,4.488599348534202,4.588550983899821,4.444769140853302,3.5714285714285716,29.0933480447159,52.20950613125714
37,주간,팔달구,기타,맑음,2.0,3.0,2.0,5.0,12.0,18.0777541406683,4.476795931341386,4.363636363636363,4.666666666666667,4.460807600950119,29.967906562594536,53.681872291675795
38,주간,영통구,건조,비,2.0,1.0,5.0,4.0,12.0,18.33033692973376,4.476795931341386,4.492957746478873,4.444769140853302,4.798319327731092,30.212842146404654,54.86367262435253
39,야간,장안구,건조,비,1.0,2.0,5.0,4.0,12.0,18.593867508000947,4.488599348534202,4.474332648870637,4.444769140853302,4.798319327731092,30.206020465989234,54.85438766146636
40,주간,팔달구,건조,눈,2.0,3.0,5.0,2.0,12.0,18.0777541406683,4.476795931341386,4.363636363636363,4.444769140853302,3.5714285714285716,28.856630007259625,51.41120380071552
41,주간,권선구,건조,기타,2.0,4.0,5.0,1.0,12.0,17.95146274613557,4.476795931341386,4.588550983899821,4.444769140853302,4.833333333333333,30.343449389427843,54.3649748358819
42,주간,영통구,젖음/습기,맑음,2.0,1.0,4.0,5.0,12.0,18.33033692973376,4.476795931341386,4.492957746478873,4.841059602649007,4.460807600950119,30.271620881419384,55.11482602450827
43,야간,권선구,기타,맑음,1.0,4.0,2.0,5.0,12.0,18.341284718935487,4.488599348534202,4.588550983899821,4.666666666666667,4.460807600950119,30.20462460005081,54.48017462221741
