,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
0,장안구,정자동,주간,건조,맑음,54.0,2.0,5.0,5.0,66.0,120.49662495153245
1,권선구,권선동,주간,건조,맑음,53.0,2.0,5.0,5.0,65.0,118.50511962011339
2,장안구,정자동,주간,젖음/습기,맑음,54.0,2.0,4.0,5.0,65.0,119.40740037626425
3,장안구,정자동,주간,건조,비,54.0,2.0,5.0,4.0,65.0,119.40740037626425
4,장안구,정자동,야간,건조,맑음,54.0,1.0,5.0,5.0,65.0,119.46507930042215
5,장안구,정자동,야간,젖음/습기,맑음,54.0,1.0,4.0,5.0,64.0,118.37585472515394
6,권선구,권선동,야간,건조,맑음,53.0,1.0,5.0,5.0,64.0,117.47357396900308
7,장안구,정자동,주간,건조,흐림,54.0,2.0,5.0,3.0,64.0,118.31817580099606
8,장안구,정자동,주간,젖음/습기,비,54.0,2.0,4.0,4.0,64.0,118.31817580099604
9,권선구,권선동,주간,젖음/습기,맑음,53.0,2.0,4.0,5.0,64.0,117.41589504484519
10,권선구,권선동,주간,건조,비,53.0,2.0,5.0,4.0,64.0,117.41589504484519
11,장안구,정자동,야간,건조,비,54.0,1.0,5.0,4.0,64.0,118.37585472515394
12,팔달구,인계동,주간,건조,맑음,52.0,2.0,5.0,5.0,64.0,116.51361428869431
13,장안구,정자동,주간,서리/결빙,맑음,54.0,2.0,3.0,5.0,64.0,118.31817580099604
14,팔달구,인계동,주간,젖음/습기,맑음,52.0,2.0,4.0,5.0,63.0,115.42438971342611
15,팔달구,인계동,야간,건조,맑음,52.0,1.0,5.0,5.0,63.0,115.482068637584
16,권선구,권선동,주간,건조,흐림,53.0,2.0,5.0,3.0,63.0,116.326670469577
17,장안구,정자동,주간,서리/결빙,비,54.0,2.0,3.0,4.0,63.0,117.22895122572784
18,권선구,권선동,주간,젖음/습기,비,53.0,2.0,4.0,4.0,63.0,116.32667046957698
19,장안구,영화동,주간,건조,맑음,51.0,2.0,5.0,5.0,63.0,114.52210895727525
20,장안구,정자동,야간,젖음/습기,비,54.0,1.0,4.0,4.0,63.0,117.28663014988574
21,장안구,정자동,야간,건조,흐림,54.0,1.0,5.0,3.0,63.0,117.28663014988575
22,장안구,정자동,야간,서리/결빙,맑음,54.0,1.0,3.0,5.0,63.0,117.28663014988574
23,팔달구,인계동,주간,건조,비,52.0,2.0,5.0,4.0,63.0,115.42438971342611
24,장안구,정자동,주간,건조,눈,54.0,2.0,5.0,2.0,63.0,117.22895122572785
25,권선구,권선동,주간,서리/결빙,맑음,53.0,2.0,3.0,5.0,63.0,116.32667046957698
26,권선구,권선동,야간,건조,비,53.0,1.0,5.0,4.0,63.0,116.38434939373488
27,장안구,정자동,주간,젖음/습기,흐림,54.0,2.0,4.0,3.0,63.0,117.22895122572785
28,권선구,권선동,야간,젖음/습기,맑음,53.0,1.0,4.0,5.0,63.0,116.38434939373488
29,장안구,정자동,주간,기타,맑음,54.0,2.0,2.0,5.0,63.0,117.22895122572785
30,장안구,정자동,야간,건조,눈,54.0,1.0,5.0,2.0,62.0,116.19740557461755
31,권선구,권선동,주간,건조,눈,53.0,2.0,5.0,2.0,62.0,115.23744589430879
32,장안구,영화동,야간,건조,맑음,51.0,1.0,5.0,5.0,62.0,113.49056330616494
33,장안구,정자동,야간,기타,맑음,54.0,1.0,2.0,5.0,62.0,116.19740557461755
34,장안구,정자동,주간,기타,비,54.0,2.0,2.0,4.0,62.0,116.13972665045965
35,권선구,권선동,주간,서리/결빙,비,53.0,2.0,3.0,4.0,62.0,115.23744589430878
36,장안구,정자동,야간,서리/결빙,비,54.0,1.0,3.0,4.0,62.0,116.19740557461753
37,팔달구,우만동,주간,건조,맑음,50.0,2.0,5.0,5.0,62.0,112.53060362585617
38,권선구,권선동,주간,젖음/습기,흐림,53.0,2.0,4.0,3.0,62.0,115.23744589430879
39,장안구,정자동,야간,젖음/습기,흐림,54.0,1.0,4.0,3.0,62.0,116.19740557461755
40,권선구,권선동,야간,건조,흐림,53.0,1.0,5.0,3.0,62.0,115.29512481846669
41,권선구,권선동,주간,기타,맑음,53.0,2.0,2.0,5.0,62.0,115.23744589430879
42,장안구,정자동,주간,건조,기타,54.0,2.0,5.0,1.0,62.0,116.13972665045966
43,권선구,권선동,야간,서리/결빙,맑음,53.0,1.0,3.0,5.0,62.0,115.29512481846668
44,장안구,정자동,주간,적설,맑음,54.0,2.0,1.0,5.0,62.0,116.13972665045965
45,팔달구,인계동,야간,건조,비,52.0,1.0,5.0,4.0,62.0,114.3928440623158
46,팔달구,인계동,주간,건조,흐림,52.0,2.0,5.0,3.0,62.0,114.33516513815792
47,장안구,영화동,주간,젖음/습기,맑음,51.0,2.0,4.0,5.0,62.0,113.43288438200705
48,팔달구,인계동,주간,젖음/습기,비,52.0,2.0,4.0,4.0,62.0,114.3351651381579
49,팔달구,인계동,야간,젖음/습기,맑음,52.0,1.0,4.0,5.0,62.0,114.3928440623158
50,권선구,권선동,야간,젖음/습기,비,53.0,1.0,4.0,4.0,62.0,115.29512481846668
51,장안구,정자동,주간,젖음/습기,눈,54.0,2.0,4.0,2.0,62.0,116.13972665045965
52,팔달구,인계동,주간,서리/결빙,맑음,52.0,2.0,3.0,5.0,62.0,114.3351651381579
53,장안구,영화동,주간,건조,비,51.0,2.0,5.0,4.0,62.0,113.43288438200705
54,장안구,정자동,주간,서리/결빙,흐림,54.0,2.0,3.0,3.0,62.0,116.13972665045965
55,장안구,정자동,야간,기타,비,54.0,1.0,2.0,4.0,61.0,115.10818099934934
56,팔달구,인계동,주간,젖음/습기,흐림,52.0,2.0,4.0,3.0,61.0,113.24594056288971
57,팔달구,인계동,주간,기타,맑음,52.0,2.0,2.0,5.0,61.0,113.24594056288971
58,권선구,권선동,야간,건조,눈,53.0,1.0,5.0,2.0,61.0,114.20590024319849
59,팔달구,우만동,주간,건조,비,50.0,2.0,5.0,4.0,61.0,111.44137905058797
60,팔달구,인계동,주간,건조,눈,52.0,2.0,5.0,2.0,61.0,113.24594056288971
61,권선구,권선동,주간,기타,비,53.0,2.0,2.0,4.0,61.0,114.14822131904059
62,장안구,정자동,주간,서리/결빙,눈,54.0,2.0,3.0,2.0,61.0,115.05050207519145
63,장안구,정자동,야간,서리/결빙,흐림,54.0,1.0,3.0,3.0,61.0,115.10818099934934
64,장안구,영화동,야간,건조,비,51.0,1.0,5.0,4.0,61.0,112.40133873089674
65,장안구,정자동,야간,건조,기타,54.0,1.0,5.0,1.0,61.0,115.10818099934936
66,팔달구,우만동,주간,젖음/습기,맑음,50.0,2.0,4.0,5.0,61.0,111.44137905058797
67,장안구,정자동,주간,젖음/습기,기타,54.0,2.0,4.0,1.0,61.0,115.05050207519146
68,권선구,권선동,주간,적설,맑음,53.0,2.0,1.0,5.0,61.0,114.14822131904059
69,장안구,영화동,주간,젖음/습기,비,51.0,2.0,4.0,4.0,61.0,112.34365980673884
70,팔달구,인계동,주간,서리/결빙,비,52.0,2.0,3.0,4.0,61.0,113.2459405628897
71,권선구,권선동,야간,서리/결빙,비,53.0,1.0,3.0,4.0,61.0,114.20590024319847
72,팔달구,인계동,야간,젖음/습기,비,52.0,1.0,4.0,4.0,61.0,113.3036194870476
73,장안구,정자동,야간,적설,맑음,54.0,1.0,1.0,5.0,61.0,115.10818099934934
74,장안구,정자동,주간,적설,비,54.0,2.0,1.0,4.0,61.0,115.05050207519145
75,팔달구,우만동,야간,건조,맑음,50.0,1.0,5.0,5.0,61.0,111.49905797474587
76,팔달구,인계동,야간,서리/결빙,맑음,52.0,1.0,3.0,5.0,61.0,113.3036194870476
77,팔달구,인계동,야간,건조,흐림,52.0,1.0,5.0,3.0,61.0,113.30361948704761
78,장안구,영화동,야간,젖음/습기,맑음,51.0,1.0,4.0,5.0,61.0,112.40133873089674
79,권선구,권선동,야간,젖음/습기,흐림,53.0,1.0,4.0,3.0,61.0,114.20590024319849
80,권선구,권선동,주간,건조,기타,53.0,2.0,5.0,1.0,61.0,114.1482213190406
81,장안구,영화동,주간,건조,흐림,51.0,2.0,5.0,3.0,61.0,112.34365980673886
82,권선구,세류동,주간,건조,맑음,49.0,2.0,5.0,5.0,61.0,110.53909829443711
83,권선구,권선동,주간,서리/결빙,흐림,53.0,2.0,3.0,3.0,61.0,114.14822131904059
84,장안구,영화동,주간,서리/결빙,맑음,51.0,2.0,3.0,5.0,61.0,112.34365980673884
85,장안구,정자동,주간,기타,흐림,54.0,2.0,2.0,3.0,61.0,115.05050207519146
86,권선구,권선동,주간,젖음/습기,눈,53.0,2.0,4.0,2.0,61.0,114.14822131904059
87,장안구,정자동,야간,젖음/습기,눈,54.0,1.0,4.0,2.0,61.0,115.10818099934934
88,권선구,권선동,야간,기타,맑음,53.0,1.0,2.0,5.0,61.0,114.20590024319849
89,팔달구,인계동,주간,적설,맑음,52.0,2.0,1.0,5.0,60.0,112.15671598762151
90,장안구,영화동,주간,서리/결빙,비,51.0,2.0,3.0,4.0,60.0,111.25443523147064
91,장안구,영화동,주간,건조,눈,51.0,2.0,5.0,2.0,60.0,111.25443523147065
92,장안구,영화동,주간,기타,맑음,51.0,2.0,2.0,5.0,60.0,111.25443523147065
93,팔달구,인계동,주간,젖음/습기,눈,52.0,2.0,4.0,2.0,60.0,112.15671598762151
94,장안구,정자동,주간,서리/결빙,기타,54.0,2.0,3.0,1.0,60.0,113.96127749992326
95,팔달구,인계동,야간,기타,맑음,52.0,1.0,2.0,5.0,60.0,112.21439491177941
96,장안구,영화동,주간,젖음/습기,흐림,51.0,2.0,4.0,3.0,60.0,111.25443523147065
97,장안구,정자동,야간,서리/결빙,눈,54.0,1.0,3.0,2.0,60.0,114.01895642408114
98,팔달구,화서동,주간,건조,맑음,48.0,2.0,5.0,5.0,60.0,108.54759296301803
99,장안구,영화동,야간,서리/결빙,맑음,51.0,1.0,3.0,5.0,60.0,111.31211415562854
100,장안구,영화동,야간,건조,흐림,51.0,1.0,5.0,3.0,60.0,111.31211415562855
101,팔달구,인계동,야간,서리/결빙,비,52.0,1.0,3.0,4.0,60.0,112.2143949117794
102,팔달구,인계동,야간,건조,눈,52.0,1.0,5.0,2.0,60.0,112.21439491177941
103,장안구,정자동,야간,기타,흐림,54.0,1.0,2.0,3.0,60.0,114.01895642408115
104,장안구,정자동,야간,젖음/습기,기타,54.0,1.0,4.0,1.0,60.0,114.01895642408115
105,장안구,정자동,주간,적설,흐림,54.0,2.0,1.0,3.0,60.0,113.96127749992326
106,권선구,세류동,야간,건조,맑음,49.0,1.0,5.0,5.0,60.0,109.5075526433268
107,팔달구,우만동,야간,젖음/습기,맑음,50.0,1.0,4.0,5.0,60.0,110.40983339947766
